V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096
Georgia,-1.5,(1) Negative: Less than zero,2.5,(2) Low: 0-24.9% of total possible sexual orientation points,-4,(1) Negative: Less than zero,1.5,0,0,0.5,0.5,-1,-3,1.5,0,0,0.5,1,-0.5,0,0,0,0,-0.5,-0.5,-3,0.045,356000,(3) South,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(0) Uncertain or unavailable law,0,0,0.5,0,0,0,0,0,0,0,0,(0) No law,0,0,0,0,0,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,0,0.5,(0) No policy,(0) No policy,0,0,0,0,(0) No policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0.5,0.5,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(-1) State Medicaid policy explicitly excludes trans coverage,0,0.5,0,(0) No state hate crime law or it does not enumerate SO,-0.5,(0) State does not prohibit use of 'gay panic defense',0,-0.5,(0) If state does not prohibit use of 'trans panic defense',0,-1,0,-1,(-1) Requires public announcement of name change
Hawaii,29.25,(5) High: 75-100% of total,13.5,(4) Medium: 50-74.9% of total,15.75,(5) High: 75-100% of total,4,7,0,6,6.5,4,1.75,3,3.5,0,3,2,2,1,3.5,0,3,4.5,2,1.75,0.046,52000,(4) West,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0.25,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0.25,(0) Uncertain or unavailable law,0.5,0.5,0.5,0,0.5,0.5,1,1,1,0,0.5,(0) No law,1,1,1,0,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,1,0.5,(0) No policy,(0) No policy,1,0.5,1,0.5,(0) No policy,(0) No policy,1,0.5,(1) State law prohibits private insurers from discriminating based on SO,0.5,0.5,(1) State law prohibits private insurers from discriminating based on GI,(1) State prohibits exclusions of trans-related care in health insurance,(1) State Medicaid policy explicitly includes trans coverage,0.5,0.5,0.5,(1) State hate crime law enumerates SO,0,(1) State prohibits use of defense,1,0,(1) If state prohibits use of defense,0,0.75,0,1,(0) Requirement of public announcement of name change is unclear or under individual court's discretion
Idaho,2.75,(2) Low: 0-24.9% of total possible points,2.75,(2) Low: 0-24.9% of total possible sexual orientation points,0,(2) Low: 0-24.9% of total possible gender identity points,2.5,1.5,-1,1,-0.5,-1,0.25,2.5,0.75,-0.5,0.5,0,-0.5,0,0.75,-0.5,0.5,-0.5,-0.5,0.25,0.028,36000,(4) West,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(1) Unmarried couples permitted to adopt/file,0,0,0.5,0,0,0,0.25,0.25,0.25,0,0,(0) No law,0.25,0.25,0.25,0,0,(0) No law,(1) State RFRA via statute,(0) No for no targeted exemption,-0.5,(0) No law,(0) No law,0,0,-0.5,(0) No law,(0) No law,0,0,(0) No policy,(0) No policy,0,0.5,0,0,(0) No policy,(0) No policy,0,0.5,(0) No state law prohibiting SO discrimination in insurance,0,0,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,-0.5,0,0,(0) No state hate crime law or it does not enumerate SO,-0.5,(0) State does not prohibit use of 'gay panic defense',0,-0.5,(0) If state does not prohibit use of 'trans panic defense',0,0.25,0,1,(-1) Requires public announcement of name change
Illinois,29.5,(5) High: 75-100% of total,14.5,(5) High: 75-100% of total,15,(5) High: 75-100% of total,5,9,-3,8,5.5,3,2,4,4.5,-1.5,4,2,1.5,1,4.5,-1.5,4,3.5,1.5,2,0.043,426000,(1) Midwest,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(1) Unmarried couples permitted to adopt/file,0.5,0.5,1,0,0.5,0.5,1,1,1,1,0.5,(0) No law,1,1,1,1,0.5,(0) No law,(1) State RFRA via statute,"(1) Yes for any targeted religious exemption in child welfare, marriage service or solemnization, or healthcare",-0.5,(0) No law,(-1) Law exists,0,0,-0.5,(0) No law,(-1) Law exists,1,1,(0) No policy,(0) No policy,1,1,1,1,(0) No policy,(0) No policy,1,1,(1) State law prohibits private insurers from discriminating based on SO,0.5,0.5,(1) State law prohibits private insurers from discriminating based on GI,(1) State prohibits exclusions of trans-related care in health insurance,(1) State Medicaid policy explicitly includes trans coverage,0,0.5,0,(1) State hate crime law enumerates SO,-0.5,(1) State prohibits use of defense,1,-0.5,(1) If state prohibits use of defense,0,1,0,1,(0) Requirement of public announcement of name change is unclear or under individual court's discretion
Indiana,7,(2) Low: 0-24.9% of total possible points,5.25,(3) Fair: 25-49.9% of total,1.75,(2) Low: 0-24.9% of total possible gender identity points,4,2.5,-1,1,2,-2,0.5,4,1.25,-0.5,0.5,1,-1,0,1.25,-0.5,0.5,1,-1,0.5,0.045,229000,(1) Midwest,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(1) Unmarried couples permitted to adopt/file,0.5,0.5,0.5,0.5,0,0,0.25,0.25,0.25,0,0.5,(0) No law,0.25,0.25,0.25,0,0.5,(0) No law,(1) State RFRA via statute,(0) No for no targeted exemption,-0.5,(0) No law,(0) No law,0,0,-0.5,(0) No law,(0) No law,0,0,(0) No policy,(0) No policy,0,0.5,0,0,(0) No policy,(0) No policy,0,0.5,(0) No state law prohibiting SO discrimination in insurance,0.5,0.5,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,0.5,0.5,0,(0) No state hate crime law or it does not enumerate SO,-1,(0) State does not prohibit use of 'gay panic defense',0,-1,(0) If state does not prohibit use of 'trans panic defense',0.5,0.5,0,0.5,(-1) Requires public announcement of name change
Iowa,17,(3) Fair: 25-49.9% of total,11,(4) Medium: 50-74.9% of total,6,(3) Fair: 25-49.9% of total,3.5,9,0,5,1.5,0,-2,2.5,4.5,0,2.5,1,0.5,1,4.5,0,2.5,0.5,-0.5,-2,0.036,87000,(1) Midwest,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(0) Uncertain or unavailable law,0.5,0.5,0.5,0,0.5,0.5,1,1,1,1,0.5,(0) No law,1,1,1,1,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,1,1,(0) No policy,(0) No policy,0,0.5,1,1,(0) No policy,(0) No policy,0,0.5,(0) No state law prohibiting SO discrimination in insurance,0.5,0.5,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,0,0.5,0,(1) State hate crime law enumerates SO,-0.5,(0) State does not prohibit use of 'gay panic defense',0,-0.5,(0) If state does not prohibit use of 'trans panic defense',0,-1,0,-1,(0) Requirement of public announcement of name change is unclear or under individual court's discretion
Kansas,3.75,(2) Low: 0-24.9% of total possible points,2.75,(2) Low: 0-24.9% of total possible sexual orientation points,1,(2) Low: 0-24.9% of total possible gender identity points,2.5,2.5,-3.5,0,0,1,1.25,2.5,1.25,-2,0,0,1,0,1.25,-1.5,0,0,0,1.25,0.033,73000,(1) Midwest,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(0) Uncertain or unavailable law,0,0,0.5,1,0,0,0.25,0.25,0.25,0,0.5,(0) No law,0.25,0.25,0.25,0,0.5,(0) No law,(1) State RFRA via statute,"(1) Yes for any targeted religious exemption in child welfare, marriage service or solemnization, or healthcare",-0.5,(-1) Law exists,(0) No law,-0.5,0,-0.5,(-1) Law exists,(0) No law,0,0,(0) No policy,(0) No policy,0,0,0,0,(0) No policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0,0,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,0,0,0,(1) State hate crime law enumerates SO,0,(0) State does not prohibit use of 'gay panic defense',0,0,(0) If state does not prohibit use of 'trans panic defense',0,0.25,0,1,(0) Requirement of public announcement of name change is unclear or under individual court's discretion
Kentucky,4.75,(2) Low: 0-24.9% of total possible points,4.5,(2) Low: 0-24.9% of total possible sexual orientation points,0.25,(2) Low: 0-24.9% of total possible gender identity points,2.25,2.5,-1,0,2,0,-1,2.25,1.25,-0.5,0,1,0.5,0,1.25,-0.5,0,1,-0.5,-1,0.034,117000,(3) South,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0.25,(0) Uncertain or unavailable law,0,0,0.5,0.5,0,0,0.25,0.25,0.25,0,0.5,(0) No law,0.25,0.25,0.25,0,0.5,(0) No law,(1) State RFRA via statute,(0) No for no targeted exemption,-0.5,(0) No law,(0) No law,0,0,-0.5,(0) No law,(0) No law,0,0,(0) No policy,(0) No policy,0,0,0,0,(0) No policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0.5,0.5,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,0.5,0.5,0,(1) State hate crime law enumerates SO,-0.5,(0) State does not prohibit use of 'gay panic defense',0,-0.5,(0) If state does not prohibit use of 'trans panic defense',0,-1,0,-1,(1) Does not require public announcement of name change
Louisiana,-2.5,(1) Negative: Less than zero,1,(2) Low: 0-24.9% of total possible sexual orientation points,-3.5,(1) Negative: Less than zero,1.5,0,-1,-1.5,0.5,-1,-1,1.5,0,-0.5,-0.5,0.5,0,0,0,-0.5,-1,0,-1,-1,0.039,139000,(3) South,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0,(0) Uncertain or unavailable law,0,0,0.5,0,0,0,0,0,0,0,0,(0) No law,0,0,0,0,0,(0) No law,(1) State RFRA via statute,(0) No for no targeted exemption,-0.5,(0) No law,(0) No law,0,0,-0.5,(0) No law,(0) No law,0,0,(-1) State has 'Don't Say Gay' policy,(0) No policy,0,0.5,0,0,(-1) State has 'Don't Say Gay' policy,(0) No policy,0,0,(0) No state law prohibiting SO discrimination in insurance,0.5,0,(0) No state law prohibiting GI discrimination in insurance,(0) State does not prohibit exclusions of trans-related care in health insurance,(0) No explicit policy,-0.5,0.5,0,(1) State hate crime law enumerates SO,-1,(0) State does not prohibit use of 'gay panic defense',0,-1,(0) If state does not prohibit use of 'trans panic defense',0,-1,0,-1,(1) Does not require public announcement of name change
Maine,32.5,(5) High: 75-100% of total,17.5,(5) High: 75-100% of total,15,(5) High: 75-100% of total,7,9,0,7,5,4,0.5,6,4.5,0,3.5,1.5,2,1,4.5,0,3.5,3.5,2,0.5,0.049,53000,(2) Northeast,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0.5,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0.5,(1) Unmarried couples permitted to adopt/file,0.5,0.5,1,1,0.5,0.5,1,1,1,1,0.5,(0) No law,1,1,1,1,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,1,1,(0) No policy,(0) No policy,1,0.5,1,1,(0) No policy,(0) No policy,1,0.5,(1) State law prohibits private insurers from discriminating based on SO,0,0.5,(1) State law prohibits private insurers from discriminating based on GI,(1) State prohibits exclusions of trans-related care in health insurance,(1) State Medicaid policy explicitly includes trans coverage,0,0,0.5,(1) State hate crime law enumerates SO,0,(1) State prohibits use of defense,1,0,(1) If state prohibits use of defense,0.5,1,0,-1,(0) Requirement of public announcement of name change is unclear or under individual court's discretion
Maryland,25.75,(4) Medium: 50-74.9% of total,11.75,(4) Medium: 50-74.9% of total,14,(4) Medium: 50-74.9% of total,4.75,7,0,6,4.5,1,2.5,3.75,3.5,0,3,1,0.5,1,3.5,0,3,3.5,0.5,2.5,0.042,198000,(3) South,1,(0) No did not offer paid partner leave (irrespective of narrow/broad partner definition),0,(0) No did not offer paid child leave (irrespective of narrow/broad child definition),0.25,(0) Uncertain or unavailable law,0.5,0.5,0.5,1,0.5,0.5,1,1,1,0,0.5,(0) No law,1,1,1,0,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,0,1,(0) No policy,(0) No policy,1,1,0,1,(0) No policy,(0) No policy,1,1,(0) No state law prohibiting SO discrimination in insurance,0.5,0.5,(0) No state law prohibiting GI discrimination in insurance,(1) State prohibits exclusions of trans-related care in health insurance,(1) State Medicaid policy explicitly includes trans coverage,0.5,0.5,0.5,(1) State hate crime law enumerates SO,-0.5,(0) State does not prohibit use of 'gay panic defense',1,-0.5,(0) If state does not prohibit use of 'trans panic defense',0.5,1,0,1,(0) Requirement of public announcement of name change is unclear or under individual court's discretion
Massachusetts,32.5,(5) High: 75-100% of total,15.25,(5) High: 75-100% of total,17.25,(5) High: 75-100% of total,6.5,9,0,7.5,5.5,1.5,2.5,5.5,4.5,0,3.5,1,0.75,1,4.5,0,4,4.5,0.75,2.5,0.054,296000,(2) Northeast,1,(1) Yes offered paid partner leave,0.5,(1) Yes offered paid child leave,0.5,(1) Unmarried couples permitted to adopt/file,0.5,0.5,0.5,1,0.5,0.5,1,1,1,1,0.5,(0) No law,1,1,1,1,0.5,(0) No law,(0) No state RFRA (N/A),(0) No for no targeted exemption,0,(0) No law,(0) No law,0,0,0,(0) No law,(0) No law,1,1,(0) No policy,(0) No policy,1,0.5,1,1,(0) No policy,(0) No policy,1,1,(0) No state law prohibiting SO discrimination in insurance,0.5,0.5,(1) State law prohibits private insurers from discriminating based on GI,(1) State prohibits exclusions of trans-related care in health insurance,(1) State Medicaid policy explicitly includes trans coverage,0.5,0.5,0.5,(1) State hate crime law enumerates SO,-0.25,(0) State does not prohibit use of 'gay panic defense',1,-0.25,(0) If state does not prohibit use of 'trans panic defense',0.5,1,0,1,(0) Requirement of public announcement of name change is unclear or under individual court's discretion
